CLB1 RESOURCE21911
CLB10 RESOURCE42002
CLB100 RESOURCE37725
CLB1000 RESOURCE15704
CLB10000 RESOURCE9085
CLB10001 RESOURCE35167
CLB10002 RESOURCE21709
CLB10003 RESOURCE39606
CLB10004 RESOURCE25971
CLB10005 RESOURCE32066
CLB10006 RESOURCE17513
CLB10007 RESOURCE13099
CLB10008 RESOURCE33142
CLB10009 RESOURCE32357
CLB1001 RESOURCE54498
CLB10010 RESOURCE16
CLB10011 RESOURCE26228
CLB10012 RESOURCE12986
CLB10013 RESOURCE25339
CLB10014 RESOURCE31927
CLB10015 RESOURCE7832
CLB10016 RESOURCE22
CLB10017 RESOURCE15960
CLB10018 RESOURCE32408
CLB10019 RESOURCE30022
CLB1002 RESOURCE17152
CLB10020 RESOURCE20991
CLB10021 RESOURCE24417
CLB10022 RESOURCE37583
CLB10023 RESOURCE40430
CLB10024 RESOURCE38486
CLB10025 RESOURCE41866
CLB10026 RESOURCE32946
CLB10027 RESOURCE13042
CLB10028 RESOURCE25001
CLB10029 RESOURCE41341
CLB1003 RESOURCE23069
CLB10030 RESOURCE29038
CLB10031 RESOURCE20934
CLB10032 RESOURCE16559
CLB10033 RESOURCE33404
CLB10034 RESOURCE21402
CLB10035 RESOURCE9942
CLB10036 RESOURCE14096
CLB10037 RESOURCE35528
CLB10038 RESOURCE39923
CLB10039 RESOURCE20495
CLB1004 RESOURCE28128
CLB10040 RESOURCE51049
CLB10041 RESOURCE17057
CLB10042 RESOURCE43601
CLB10043 RESOURCE41348
CLB10044 RESOURCE56931
CLB10045 RESOURCE35500
CLB10046 RESOURCE48000
CLB10047 RESOURCE21888
CLB10048 RESOURCE1014
CLB10049 RESOURCE2468
CLB1005 RESOURCE19038
CLB10050 RESOURCE2922
CLB10051 RESOURCE19481
CLB10052 RESOURCE15609
CLB10053 RESOURCE63
CLB10054 RESOURCE25384
CLB10055 RESOURCE4872
CLB10056 RESOURCE66
CLB10057 RESOURCE7894
CLB10058 RESOURCE68
CLB10059 RESOURCE9020
CLB1006 RESOURCE89
CLB10060 RESOURCE38910
CLB10061 RESOURCE13065
CLB10062 RESOURCE23967
CLB10063 RESOURCE3626
CLB10064 RESOURCE22542
CLB10065 RESOURCE36893
CLB10066 RESOURCE40346
CLB10067 RESOURCE1577
CLB10068 RESOURCE15549
CLB10069 RESOURCE14045
CLB1007 RESOURCE21503
CLB10070 RESOURCE7898
CLB10071 RESOURCE34076
CLB10072 RESOURCE36023
CLB10073 RESOURCE23079
CLB10074 RESOURCE26372
CLB10075 RESOURCE36900
CLB10076 RESOURCE37491
CLB10077 RESOURCE35017
CLB10078 RESOURCE26303
CLB10079 RESOURCE4883
CLB1008 RESOURCE37994
CLB10080 RESOURCE2035
CLB10081 RESOURCE7863
